Location,Theme,Subject,Lat,Lon,Link,icon
"The University of Manchester, UK",Education,BSc (2012 - 2015),53.46647118,-2.236571855,<b><a href='https://www.manchester.ac.uk/study/undergraduate/courses/2022/00575/bsc-geography/'>Course Details</a></b>,Education
"The University of Manchester, UK",Education,PhD (2016 - 2019),53.46673262,-2.235691851,<b><a href='https://www.proquest.com/openview/836eaaa3066614d8c8006be4ab43572f/1?pq-origsite=gscholar&cbl=2026366&diss=y'>PhD Thesis</a></b>,Education
"The University of Manchester, UK",Employment,Lecturer/Senior Tutor (2019 - present),53.46673262,-2.235691851,<b><a href='https://www.research.manchester.ac.uk/portal/en/researchers/matt-tomkins%28c8615701-331f-428d-aeb4-b306b062fe03%29.html'>Institutional Page</a></b>,Employment
"Lancaster University, UK",Education,MSc (2015 - 2016),54.00901637,-2.788121146,<b><a href='https://www.proquest.com/openview/3e39e4e8b7448b31489f1a0420a2a74d/1?pq-origsite=gscholar&cbl=18750&diss=y'>MSc Thesis</a></b>,Education
"Falljökull Glacier, Iceland",Research,MSc Thesis ,63.97464421,-16.7995314,<b><a href='https://www.proquest.com/openview/3e39e4e8b7448b31489f1a0420a2a74d/1?pq-origsite=gscholar&cbl=18750&diss=y'>MSc Thesis</a></b>,Research
"Pyrenees, France/Spain",Research,Quaternary Research (2018),42.63117453,0.656596124,<b><a href='https://doi.org/10.1017/qua.2018.12'>Tomkins et al. (2018)</a></b>,Research
"Pyrenees, France/Spain",Research,Earth and Planetary Science Letters (2021),42.42277372,1.642178423,<b><a href='https://doi.org/10.1016/j.epsl.2021.117092'>Tomkins et al. (2021)</a></b>,Research
"Wicklow Mountains, Ireland",Research,Journal of Quaternary Science (2018),52.96604185,-6.463018693,<b><a href='https://doi.org/10.1002/jqs.3040'>Tomkins et al. (2018)</a></b>,Research
"Durmitor, Montenegro",Research,In Preparation,43.12777341,19.03408753,<b><a href='https://ui.adsabs.harvard.edu/abs/2020EGUGA..22.9744A/abstract'>Allard et al. (in prep)</a></b>,Research
"Lake District, UK",Research,North West Geography (2019),54.53259662,-3.30014433,<b><a href='https://mangeogsoc.org.uk/pdfs/hughes_19_2.pdf'>Hughes et al. (2019)</a></b>,Research
"Jotunheimen, Norway",Research,Boreas (2018),61.56185843,8.216429139,<b><a href='https://doi.org/10.1111/bor.12336'>Matthews et al. (2018)</a></b>,Research
"Scottish Highlands, UK",Research,Quaternary Geochronology (2016),57.05946312,-4.644796051,<b><a href='https://doi.org/10.1111/bor.12336'>Tomkins et al. (2016)</a></b>,Research
"Donegal, Ireland",Research,Journal of Quaternary Science (2018),55.130893,-8.280825,<b><a href='https://doi.org/10.1016/j.quageo.2017.12.003'>Tomkins et al. (2018)</a></b>,Research
Transantarctic Mountains,Research,Nature Communications (2022),-84.09655918,167.6780285,<b><a href='https://doi.org/10.1038/s41467-022-33310-z'>Barr et al. (2022)</a></b>,Research
